release_version,profile_id,dataset_id,dataset_kind,samples,decode_count,truth_count,scored_truth_count,wall_seconds,cpu_user_seconds,cpu_system_seconds,cpu_seconds,avg_wall_seconds,avg_cpu_user_seconds,avg_cpu_system_seconds,avg_cpu_seconds,tp,fp,fn,precision,recall,f1
2.1.1,quick,kgoba-ft8-lib,scored,31,296,429,418,18.374983329558745,14.980894000000001,0.7055549999999999,15.686449000000001,0.5927413977277014,0.48325464516129035,0.02275983870967742,0.5060144838709678,267,0,151,1.0,0.638755980861244,0.7795620437956204
2.1.2,deepest,d9394-ft8-test-wave,unscored,11,36,0,0,14.781696874881163,12.362253,0.33244399999999996,12.694697000000001,1.3437906249891967,1.123841181818182,0.030222181818181815,1.1540633636363637,0,0,0,,,
2.1.2,deepest,kgoba-ft8-lib,scored,31,392,429,418,52.029001374263316,44.82029899999999,0.973728,45.794027000000014,1.6783548830407522,1.4458160967741933,0.03141058064516129,1.4772266774193552,358,0,60,1.0,0.8564593301435407,0.9226804123711341
2.1.2,medium,d9394-ft8-test-wave,unscored,11,29,0,0,10.700203707441688,8.940013,0.28736900000000004,9.227382,0.9727457915856079,0.8127284545454546,0.026124454545454548,0.8388529090909091,0,0,0,,,
2.1.2,medium,kgoba-ft8-lib,scored,31,355,429,418,38.86463212547824,33.783308000000005,0.87829,34.661598,1.253697810499298,1.0897841290322583,0.028331935483870967,1.118116064516129,325,0,93,1.0,0.777511961722488,0.8748317631224765
2.1.2,quick,d9394-ft8-test-wave,unscored,11,28,0,0,6.180276874918491,5.050876,0.251139,5.302015,0.5618433522653173,0.45917054545454544,0.02283081818181818,0.48200136363636364,0,0,0,,,
2.1.2,quick,kgoba-ft8-lib,scored,31,296,429,418,18.233034871984273,15.021866,0.6943869999999999,15.716253000000004,0.5881624152252991,0.48457632258064515,0.022399580645161284,0.5069759032258065,267,0,151,1.0,0.638755980861244,0.7795620437956204
2.2.0,deepest,d9394-ft8-test-wave,unscored,11,47,0,0,35.59288470586762,15.928330999999998,0.3671669999999999,16.295498000000002,3.2357167914425107,1.4480300909090909,0.033378818181818176,1.4814089090909093,0,0,0,,,
2.2.0,deepest,kgoba-ft8-lib,scored,31,423,429,418,138.28658900409937,64.108839,1.2086029999999999,65.317442,4.460857709809657,2.068027064516129,0.038987193548387096,2.107014258064516,399,0,19,1.0,0.9545454545454546,0.9767441860465117
2.2.0,medium,d9394-ft8-test-wave,unscored,11,47,0,0,25.026514124823734,11.770447,0.34443,12.114877,2.2751376477112486,1.0700406363636363,0.031311818181818184,1.1013524545454545,0,0,0,,,
2.2.0,medium,kgoba-ft8-lib,scored,31,417,429,418,69.26329495478421,52.59574299999999,1.1345830000000001,53.730326,2.2342998372511036,1.6966368709677417,0.036599451612903226,1.733236322580645,393,0,25,1.0,0.9401913875598086,0.969173859432799
2.2.0,quick,d9394-ft8-test-wave,unscored,11,47,0,0,14.428481084993109,12.469692000000002,0.342624,12.812316000000003,1.311680098635737,1.1336083636363639,0.031147636363636363,1.1647560000000003,0,0,0,,,
2.2.0,quick,kgoba-ft8-lib,scored,31,417,429,418,61.84234378975816,53.000623999999995,1.1400430000000004,54.14066699999999,1.9949143157986504,1.7096975483870966,0.0367755806451613,1.746473129032258,393,0,25,1.0,0.9401913875598086,0.969173859432799
2.2.1,deepest,d9394-ft8-test-wave,unscored,11,47,0,0,19.34534216602333,16.508758,0.356065,16.864822999999998,1.7586674696384845,1.5007961818181819,0.032369545454545456,1.533165727272727,0,0,0,,,
2.2.1,deepest,kgoba-ft8-lib,scored,31,423,429,418,76.28111649584025,65.581699,1.1360580000000002,66.71775699999999,2.4606811772851693,2.1155386774193548,0.036647032258064524,2.1521857096774193,399,0,19,1.0,0.9545454545454546,0.9767441860465117
2.2.1,medium,d9394-ft8-test-wave,unscored,11,47,0,0,14.505533999064937,12.195318,0.34133099999999994,12.536649,1.3186849090059034,1.1086652727272728,0.031030090909090903,1.1396953636363636,0,0,0,,,
2.2.1,medium,kgoba-ft8-lib,scored,31,417,429,418,60.82724470808171,52.777658,1.123567,53.90122500000001,1.962169184131668,1.7025050967741937,0.036244096774193546,1.7387491935483874,393,0,25,1.0,0.9401913875598086,0.969173859432799
2.2.1,quick,d9394-ft8-test-wave,unscored,11,47,0,0,16.56718045868911,12.441223999999998,0.34049199999999996,12.781716,1.5061073144262827,1.1310203636363634,0.03095381818181818,1.1619741818181817,0,0,0,,,
2.2.1,quick,kgoba-ft8-lib,scored,31,417,429,418,105.32347971131094,50.789488000000006,1.1172579999999999,51.906746,3.3975316035906755,1.6383705806451614,0.03604058064516129,1.6744111612903225,393,0,25,1.0,0.9401913875598086,0.969173859432799
2.2.2,deepest,d9394-ft8-test-wave,unscored,11,47,0,0,20.831506124464795,17.894106,0.374059,18.268165,1.893773284042254,1.6267369090909092,0.03400536363636363,1.6607422727272727,0,0,0,,,
2.2.2,deepest,kgoba-ft8-lib,scored,31,429,429,418,76.73328837752342,66.46435100000001,1.183569,67.64792,2.4752673670168845,2.144011322580645,0.038179645161290326,2.1821909677419353,404,0,14,1.0,0.9665071770334929,0.9829683698296838
2.2.2,medium,d9394-ft8-test-wave,unscored,11,46,0,0,14.753609332023188,12.630005999999998,0.350287,12.980293,1.341237212002108,1.1481823636363635,0.03184427272727273,1.1800266363636362,0,0,0,,,
2.2.2,medium,kgoba-ft8-lib,scored,31,412,429,418,60.84667708189227,50.717574,1.085473,51.803047,1.9627960348997506,1.6360507741935484,0.03501525806451613,1.6710660322580646,387,0,31,1.0,0.9258373205741627,0.9614906832298136
2.2.2,quick,d9394-ft8-test-wave,unscored,11,30,0,0,10.397549916058779,8.26365,0.303935,8.567585,0.9452318105507981,0.7512409090909091,0.027630454545454545,0.7788713636363636,0,0,0,,,
2.2.2,quick,kgoba-ft8-lib,scored,31,298,429,418,34.35497970948927,28.666840000000004,0.8823110000000001,29.549151000000002,1.1082251519190087,0.9247367741935485,0.028461645161290326,0.9531984193548387,276,0,142,1.0,0.6602870813397129,0.7953890489913544
2.3.0,deepest,d9394-ft8-test-wave,unscored,11,47,0,0,42.522696499479935,37.06209400000001,0.524851,37.58694500000001,3.865699681770903,3.3692812727272736,0.04771372727272727,3.4169950000000004,0,0,0,,,
2.3.0,deepest,kgoba-ft8-lib,scored,31,429,429,418,153.37193933175877,134.63650099999998,1.6577419999999998,136.29424300000005,4.947481913927702,4.3431129354838705,0.05347554838709677,4.3965884838709695,404,0,14,1.0,0.9665071770334929,0.9829683698296838
2.3.0,medium,d9394-ft8-test-wave,unscored,11,46,0,0,23.97815070929937,20.817573,0.43304599999999993,21.250619,2.179831882663579,1.8925066363636363,0.03936781818181818,1.9318744545454545,0,0,0,,,
